employeeSkillID;employeeID;skillID
15d845bf-c97d-464f-9e94-bc6118ee8ae1;7db85f34-010f-4807-ac39-6f3f63a2fb40;345d111a-f21d-4684-bbdc-1223c88f5af8
49fc5ab4-0805-460f-a6a8-af6e8090424e;7db85f34-010f-4807-ac39-6f3f63a2fb40;b85dffb1-6c2a-49b3-b35a-2f016545a025
33153988-af81-463e-8cc4-2780913e7803;7db85f34-010f-4807-ac39-6f3f63a2fb40;c816c1d6-78ba-4c2e-b077-d34377024400
526c4aba-d218-4d38-b570-27d1ee3187d2;7db85f34-010f-4807-ac39-6f3f63a2fb40;a67b9df1-23c8-4c64-8b08-b74e7a7bca08
86f57ccd-63d8-4bc2-ba92-91f576ac85f8;920e8dd0-1a7e-4f40-a5ee-89f8d2dd1a43;e50699fb-98cb-4a8a-9039-19f5f1ff0cc4
9bf0603a-93db-4002-863c-6f20245b6f13;920e8dd0-1a7e-4f40-a5ee-89f8d2dd1a43;f68eb781-3659-4d67-8c8c-af75ea7e565e
dd077564-82b2-4582-b133-2d77dcd624fc;920e8dd0-1a7e-4f40-a5ee-89f8d2dd1a43;99797ca5-e9a4-48d1-8079-c9b2d517067d
dac7b1bd-1cda-41ee-a219-536179c69342;920e8dd0-1a7e-4f40-a5ee-89f8d2dd1a43;6930b7c7-3cd9-42c6-8700-74478583661d
8543c4f9-5f2f-475e-adeb-9f10346a89d3;474090c4-63c4-4238-a92f-d4627e8631bc;40db9854-e185-4ff2-9be5-99e75ac6dbde
a701ed48-9ad5-48cc-b57b-b99822ff85f1;474090c4-63c4-4238-a92f-d4627e8631bc;014a8f40-1bb1-41d4-afdb-fdeeac69a5a7
9b9b9281-9cd3-495b-8a07-d28ecdce0cdb;474090c4-63c4-4238-a92f-d4627e8631bc;e83e5754-7067-4be0-a990-d9a7e24857f8
d38623c9-7d7a-4075-9b2c-c495cb43b136;474090c4-63c4-4238-a92f-d4627e8631bc;262c4611-f481-4f2e-8f23-a1cf1199f45c
b9f7c4d3-f1f1-4445-81ed-b3cd37ccdcaf;980fb7f5-b229-4837-8be4-dd5eeba496bb;d2e4f836-8c9f-4563-bda2-c9fb3c6068ee
bbfa6463-b1bf-4676-ac28-904aa8edc7e3;980fb7f5-b229-4837-8be4-dd5eeba496bb;30ef51ca-5ebd-49c6-9ac1-88fc600e1e65
375ec9e0-834d-4fd4-97c6-8275a3750e57;980fb7f5-b229-4837-8be4-dd5eeba496bb;c5b2a420-9a56-4988-a060-6120a5cb0e85
