customerID;customerName;image;phone;email
cd706248-3a39-4e2f-af14-b2fc92ba7ef1;Adam's Taxi;https://images.emojiterra.com/google/noto-emoji/v2.034/512px/1f695.png;69170109;adamtaxi@gmail.com
424b86eb-e09b-4779-b0fa-be361f10d97a;Blue rain umbrellas;https://img.freepik.com/free-vector/umbrella-logo_9850-154.jpg?w=2000;58280442;bluerain@gmail.com
c3378c89-a432-46ab-a50b-71969e2091d3;Diamond Jewellery;https://image.shutterstock.com/image-vector/diamond-jewellery-logo-design-vector-260nw-1122948041.jpg;62450982;diamondjewellery@gmail.com
9ae5285e-6263-4763-a923-6136541030de;AutoDeal;https://thumbs.dreamstime.com/b/auto-deal-logo-car-dealership-isolated-black-color-front-view-handshakes-creative-emblem-142244548.jpg;97057479;autodeal@gmail.com
ad6598c8-27ea-4e64-97e3-a3b79d40609e;Piggy Bank;https://img.freepik.com/free-vector/piggy-bank-logo-template_59362-97.jpg?w=2000;62611876;piggy@bank.com
55248af0-c95f-4928-a586-6ed750744528;Eco Milk;https://scalebranding.com/wp-content/uploads/2020/11/EcoMilk.jpg;20977676;ecomilk@gmail.com
1676ec42-6236-41d2-85dc-c613ef741cbe;Super Meals;https://images-platform.99static.com/ydocSZMPbCuCOxA5hNQLJLs10jY=/500x500/top/smart/99designs-contests-attachments/2/2478/attachment_2478256;78079517;supermeals@gmail.com
1e3a78d2-02d5-4c11-bb3c-d3ced1f032fe;Mountain bikes;https://image.shutterstock.com/image-vector/mountain-bike-logo-vector-symbol-600w-1919385971.jpg;65006144;mountainbikes@gmail.com
01bfac50-09e3-40b8-91f3-f8b70a849bf4;Art Appeal;https://img.freepik.com/free-vector/aesthetic-fashion-logo-template-feminine-business-branding-design-black-white-vector_53876-156445.jpg?w=2000;10295185;artappeal@gmail.com
24d0654f-1b3f-475e-bf87-d9d219bba970;Studio Shodwe;https://marketplace.canva.com/EAE3UqPBZ4I/1/0/1600w/canva-brownline-minimalist-interior-design-logo-jKykCYvK9F0.jpg;21792117;shodwe@gmail.com
